fc_destination_code,proxy,uvac_destination,number_of_nights,offset
JSC,US,JSC,6,73
JSC,US,JSC,6,79
JSC,US,JSC,6,85
JSC,US,JSC,6,91
JSC,US,JSC,6,97
JSC,US,JSC,6,103
JSC,US,JSC,6,109
JSC,US,JSC,6,115
JSC,US,JSC,6,121
JSC,US,JSC,6,127
JSC,US,JSC,6,133
JSC,US,JSC,6,139
JSC,US,JSC,6,145
JSC,US,JSC,6,151
JSC,US,JSC,6,157
JSC,US,JSC,6,163
JSC,US,JSC,6,197
JSC,US,JSC,6,203
JSC,US,JSC,6,209
JSC,US,JSC,6,215
JSC,US,JSC,6,221
JSC,US,JSC,6,227
JSC,US,JSC,6,233
JSC,US,JSC,6,239
JSC,US,JSC,6,245
JSC,US,JSC,6,251
JSC,US,JSC,6,257
JSC,US,JSC,6,263
JSC,US,JSC,6,269
JSC,US,JSC,6,275
JSC,US,JSC,6,281
JSC,US,JSC,6,287
JSC,US,JSC,6,293
JSC,US,JSC,6,299
JSC,US,JSC,6,305
JSC,US,JSC,6,311
JSC,US,JSC,6,317
JSC,US,JSC,6,323
JSC,US,JSC,6,329
JSC,US,JSC,6,335
JSC,US,JSC,6,341
JSC,US,JSC,6,347
JSC,US,JSC,6,353
JSC,US,JSC,6,359
JSC,US,JSC,6,365
JSC,US,JSC,6,371
WWI,US,KOA,1,7
LAS,US,LAS,4,7
LAS,US,LAS,4,11
LAS,US,LAS,4,15
LAS,US,LAS,4,19
LAS,US,LAS,4,23
LAS,US,LAS,4,27
LAS,US,LAS,4,31
LAS,US,LAS,4,35
LAS,US,LAS,4,39
LAS,US,LAS,4,43
LAS,US,LAS,4,47
LAS,US,LAS,4,51
LAS,US,LAS,4,55
LAS,US,LAS,4,59
LAS,US,LAS,4,63
LAS,US,LAS,4,67
LAS,US,LAS,4,71
LAS,US,LAS,4,75
LAS,US,LAS,4,79
LAS,US,LAS,4,83
LAS,US,LAS,4,87
LAS,US,LAS,4,91
LAS,US,LAS,4,95
LAS,US,LAS,4,99
LAS,US,LAS,4,103
LAS,US,LAS,4,107
LAS,US,LAS,4,111
LAS,US,LAS,4,115
LAS,US,LAS,4,119
LAS,US,LAS,4,123
LAS,US,LAS,4,127
LAS,US,LAS,4,131
LAS,US,LAS,4,135
LAS,US,LAS,4,139
LAS,US,LAS,4,143
LAS,US,LAS,4,147
LAS,US,LAS,4,151
LAS,US,LAS,4,155
LAS,US,LAS,4,159
LAS,US,LAS,4,163
LAS,US,LAS,4,167
LAS,US,LAS,4,171
LAS,US,LAS,4,175
LAS,US,LAS,4,179
LAS,US,LAS,4,183
LAS,US,LAS,4,187
LAS,US,LAS,4,191
LAS,US,LAS,4,195
LAS,US,LAS,4,199
LAS,US,LAS,4,203
LAS,US,LAS,4,207
LAS,US,LAS,4,211
LAS,US,LAS,4,215
LAS,US,LAS,4,219
LAS,US,LAS,4,223
LAS,US,LAS,4,227
LAS,US,LAS,4,231
LAS,US,LAS,4,235
LAS,US,LAS,4,239
LAS,US,LAS,4,243
LAS,US,LAS,4,247
LAS,US,LAS,4,251
LAS,US,LAS,4,283
LAS,US,LAS,4,315
LAS,US,LAS,4,347
LAS,US,LAS,4,379
WKU,US,LIH,1,7
MIL,US,LIN,2,7
MIL,US,LIN,2,9
MIL,US,LIN,2,11
MIL,US,LIN,2,13
MIL,US,LIN,2,15
MIL,US,LIN,2,17
MIL,US,LIN,2,19
MIL,US,LIN,2,21
MIL,US,LIN,2,23
MIL,US,LIN,2,25
MIL,US,LIN,2,27
MIL,US,LIN,2,29
MIL,US,LIN,2,31
MIL,US,LIN,2,33
MIL,US,LIN,2,35
MIL,US,LIN,2,37
MIL,US,LIN,2,39
MIL,US,LIN,2,41
MIL,US,LIN,2,43
MIL,US,LIN,2,45
MIL,US,LIN,2,47
MIL,US,LIN,2,49
MIL,US,LIN,2,51
MIL,US,LIN,2,53
MIL,US,LIN,2,55
MIL,US,LIN,2,57
MIL,US,LIN,2,59
MIL,US,LIN,2,61
MIL,US,LIN,2,63
MIL,US,LIN,2,65
MIL,US,LIN,2,67
MIL,US,LIN,2,69
MIL,US,LIN,2,71
MIL,US,LIN,2,73
MIL,US,LIN,2,75
MIL,US,LIN,2,77
MIL,US,LIN,2,79
MIL,US,LIN,2,81
MIL,US,LIN,2,83
MIL,US,LIN,2,85
MIL,US,LIN,2,87
MIL,US,LIN,2,89
MIL,US,LIN,2,91
MIL,US,LIN,2,93
MIL,US,LIN,2,95
MIL,US,LIN,2,97
MIL,US,LIN,2,99
MIL,US,LIN,2,101
MIL,US,LIN,2,103
MIL,US,LIN,2,133
